t,value,ema17,ema1_ma2,ema1_ma3,ema2_ma1,ema2_ma2,filtered,,filtered,fifth,,forth,,third,,second,,first,,,
0.172,-1.024565,-0.863319,-0.841251,-0.835771,-0.841808,-0.853836,-0.863319,,0.863319,0.853836,,0.841808,,0.835771,,0.841251,,0.840554,,,
0.173,-1.279596,-0.882148,-0.907002,-0.924536,-0.951255,-0.981564,-0.882148,,0.882148,0.981564,,0.951255,,0.924536,,0.907002,,0.862506,,,
0.174,-1.302561,-0.865348,-0.966336,-1.000141,-1.039081,-1.077863,-0.865348,,0.865348,1.077863,,1.039081,,1.000141,,0.966336,,0.884508,,,
0.175,-0.85533,-0.812483,-0.949685,-0.971179,-0.993144,-1.011103,-0.812483,,0.812483,1.011103,,0.993144,,0.971179,,0.949685,,0.88305,,,
0.176,-0.401031,-0.760575,-0.867387,-0.857149,-0.845115,-0.828082,-0.760575,,0.760575,0.828082,,0.845115,,0.857149,,0.867387,,0.858949,,,
0.177,-0.775118,-0.744521,-0.853547,-0.840743,-0.827616,-0.812192,-0.744521,,0.744521,0.812192,,0.827616,,0.840743,,0.853547,,0.854757,,,
0.178,-0.790573,-0.652775,-0.844101,-0.830709,-0.818355,-0.805707,-0.652775,,0.652775,0.805707,,0.818355,,0.830709,,0.844101,,0.851548,,,
0.179,-0.588963,-0.551258,-0.80583,-0.78236,-0.761007,-0.740684,-0.551258,,0.551258,0.740684,,0.761007,,0.78236,,0.80583,,0.838419,,,
0.18,-0.195985,-0.414049,-0.714353,-0.665085,-0.619752,-0.577274,-0.414049,,0.414049,0.577274,,0.619752,,0.665085,,0.714353,,0.806297,,,
0.181,-0.434465,-0.35271,-0.67237,-0.618961,-0.57343,-0.534431,-0.35271,,0.35271,0.534431,,0.57343,,0.618961,,0.67237,,0.787705,,,
0.182,-0.541548,-0.371042,-0.652747,-0.603478,-0.565459,-0.536566,-0.371042,,0.371042,0.536566,,0.565459,,0.603478,,0.652747,,0.775397,,,
0.183,-0.015351,-0.360669,-0.557137,-0.485853,-0.427932,-0.380202,-0.360669,,0.360669,0.380202,,0.427932,,0.485853,,0.557137,,0.737395,,,
0.184,-0.162915,-0.26895,-0.498004,-0.421265,-0.361678,-0.315016,-0.26895,,0.26895,0.315016,,0.361678,,0.421265,,0.498004,,0.708671,,,
0.185,0.206736,-0.196491,-0.392293,-0.295665,-0.219575,-0.15849,-0.196491,,0.196491,0.15849,,0.219575,,0.295665,,0.392293,,0.662901,,,
0.186,-0.180598,-0.214551,-0.360539,-0.272652,-0.20983,-0.165123,-0.214551,,0.214551,0.165123,,0.20983,,0.272652,,0.360539,,0.638786,,,
0.187,-0.602685,-0.2188,-0.396861,-0.338658,-0.308044,-0.296391,-0.2188,,0.2188,0.296391,,0.308044,,0.338658,,0.396861,,0.636981,,,
0.188,-0.661015,-0.164252,-0.436484,-0.40313,-0.396287,-0.405778,-0.164252,,0.164252,0.405778,,0.396287,,0.40313,,0.436484,,0.638182,,,
0.189,0.218344,-0.227375,-0.33826,-0.278835,-0.242629,-0.218542,-0.227375,,0.227375,0.218542,,0.242629,,0.278835,,0.33826,,0.595356,,,
0.19,0.208083,-0.269369,-0.256308,-0.181451,-0.129951,-0.090554,-0.269369,,0.269369,0.090554,,0.129951,,0.181451,,0.256308,,0.555184,,,
0.191,-0.39465,-0.299304,-0.27706,-0.224091,-0.196126,-0.181783,-0.299304,,0.299304,0.181783,,0.196126,,0.224091,,0.27706,,0.547157,,,
0.192,-0.481203,-0.316912,-0.307681,-0.275513,-0.267395,-0.271609,-0.316912,,0.316912,0.271609,,0.267395,,0.275513,,0.307681,,0.54386,,,
0.193,0.058487,-0.278658,-0.252756,-0.208713,-0.185925,-0.17258,-0.278658,,0.278658,0.17258,,0.185925,,0.208713,,0.252756,,0.513742,,,
0.194,-0.709706,-0.231497,-0.321298,-0.308912,-0.31687,-0.333718,-0.231497,,0.231497,0.333718,,0.31687,,0.308912,,0.321298,,0.52354,,,
0.195,-0.624853,-0.24214,-0.366832,-0.3721,-0.393866,-0.421058,-0.24214,,0.24214,0.421058,,0.393866,,0.3721,,0.366832,,0.528606,,,
0.196,-0.122546,-0.214197,-0.330189,-0.322189,-0.326036,-0.331505,-0.214197,,0.214197,0.331505,,0.326036,,0.322189,,0.330189,,0.508303,,,
0.197,-0.374293,-0.159454,-0.336804,-0.33261,-0.3381,-0.344341,-0.159454,,0.159454,0.344341,,0.3381,,0.33261,,0.336804,,0.501603,,,
0.198,-0.181884,-0.074881,-0.313566,-0.302465,-0.299046,-0.295604,-0.074881,,0.074881,0.295604,,0.299046,,0.302465,,0.313566,,0.485617,,,
0.199,-0.142247,-0.107426,-0.287868,-0.270421,-0.259846,-0.249597,-0.107426,,0.107426,0.249597,,0.259846,,0.270421,,0.287868,,0.468448,,,
0.2,0.101272,-0.011833,-0.229497,-0.196083,-0.169567,-0.144336,-0.011833,,0.011833,0.144336,,0.169567,,0.196083,,0.229497,,0.439962,,,
0.201,0.515459,0.056301,-0.117754,-0.053774,0.00169,0.053602,0.056301,,0.056301,0.053602,,0.00169,,0.053774,,0.117754,,0.392191,,,
0.202,0.207523,0.068742,-0.068962,-0.001515,0.053148,0.099779,0.068742,,0.068742,0.099779,,0.053148,,0.001515,,0.068962,,0.362205,,,
0.203,0.449093,0.112114,0.008746,0.088607,0.152134,0.204573,0.112114,,0.112114,0.204573,,0.152134,,0.088607,,0.008746,,0.32164,,,
0.204,-0.299507,0.150518,-0.037492,0.010984,0.039224,0.053349,0.150518,,0.150518,0.053349,,0.039224,,0.010984,,0.037492,,0.320534,,,
0.205,0.341819,0.216521,0.019405,0.077151,0.114873,0.13989,0.216521,,0.216521,0.13989,,0.114873,,0.077151,,0.019405,,0.287416,,,
0.206,0.124624,0.196316,0.035188,0.086646,0.117311,0.13531,0.196316,,0.196316,0.13531,,0.117311,,0.086646,,0.035188,,0.266814,,,
0.207,0.014303,0.17307,0.032055,0.072177,0.091559,0.099008,0.17307,,0.17307,0.099008,,0.091559,,0.072177,,0.032055,,0.252758,,,
0.208,0.102801,0.162395,0.042667,0.078302,0.094369,0.100146,0.162395,,0.162395,0.100146,,0.094369,,0.078302,,0.042667,,0.23498,,,
0.209,0.240557,0.134047,0.07235,0.110753,0.130916,0.142269,0.134047,,0.134047,0.142269,,0.130916,,0.110753,,0.07235,,0.211203,,,
0.21,0.583788,0.211713,0.149066,0.20536,0.244134,0.274725,0.211713,,0.211713,0.274725,,0.244134,,0.20536,,0.149066,,0.171454,,,
0.211,-0.120983,0.221818,0.108559,0.140091,0.152855,0.156013,0.221818,,0.221818,0.156013,,0.152855,,0.140091,,0.108559,,0.16893,,,
0.212,0.259757,0.27853,0.131238,0.164024,0.17958,0.187136,0.27853,,0.27853,0.187136,,0.17958,,0.164024,,0.131238,,0.147496,,,
0.213,0.090094,0.311041,0.125067,0.149238,0.157209,0.158023,0.311041,,0.311041,0.158023,,0.157209,,0.149238,,0.125067,,0.135616,,,
0.214,0.137266,0.328195,0.126897,0.146844,0.152223,0.151796,0.328195,,0.328195,0.151796,,0.152223,,0.146844,,0.126897,,0.121972,,,
0.215,0.554818,0.353656,0.191085,0.228439,0.252872,0.272703,0.353656,,0.353656,0.272703,,0.252872,,0.228439,,0.191085,,0.088133,,,
0.216,0.452977,0.368535,0.230369,0.273346,0.302898,0.326785,0.368535,,0.368535,0.326785,,0.302898,,0.273346,,0.230369,,0.061077,,,
0.217,0.748457,0.452984,0.308082,0.368368,0.414288,0.453287,0.452984,,0.452984,0.453287,,0.414288,,0.368368,,0.308082,,0.020601,,,
0.218,0.371918,0.474624,0.317657,0.369078,0.403695,0.428876,0.474624,,0.474624,0.428876,,0.403695,,0.369078,,0.317657,,0.000975,,,
0.219,0.291497,0.548425,0.313733,0.353562,0.375646,0.387662,0.548425,,0.548425,0.387662,,0.375646,,0.353562,,0.313733,,0.013649,,,
0.22,0.520628,0.624635,0.344767,0.386975,0.411891,0.427552,0.624635,,0.624635,0.427552,,0.411891,,0.386975,,0.344767,,0.038998,,,
0.221,0.747459,0.726417,0.405171,0.459072,0.495783,0.523524,0.726417,,0.726417,0.523524,,0.495783,,0.459072,,0.405171,,0.074421,,,
0.222,0.807953,0.819326,0.465588,0.528848,0.573826,0.608853,0.819326,,0.819326,0.608853,,0.573826,,0.528848,,0.465588,,0.111097,,,
0.223,0.497799,0.808747,0.47042,0.522638,0.554819,0.575537,0.808747,,0.808747,0.575537,,0.554819,,0.522638,,0.47042,,0.130433,,,
0.224,0.901905,0.84455,0.535143,0.598492,0.641591,0.673447,0.84455,,0.84455,0.673447,,0.641591,,0.598492,,0.535143,,0.169006,,,
0.225,0.975575,0.851685,0.601208,0.673908,0.725087,0.764086,0.851685,,0.851685,0.764086,,0.725087,,0.673908,,0.601208,,0.209335,,,
0.226,1.674422,0.857815,0.76219,0.874011,0.96242,1.037186,0.857815,,0.857815,1.037186,,0.96242,,0.874011,,0.76219,,0.282589,,,
0.227,1.474968,0.864542,0.869107,0.994202,1.090557,1.168521,0.864542,,0.864542,1.168521,,1.090557,,0.994202,,0.869107,,0.342208,,,
0.228,0.632097,0.887519,0.833555,0.921781,0.975942,1.007594,0.887519,,0.887519,1.007594,,0.975942,,0.921781,,0.833555,,0.356702,,,
0.229,0.765743,0.884752,0.823383,0.890574,0.923392,0.935039,0.884752,,0.884752,0.935039,,0.923392,,0.890574,,0.823383,,0.377154,,,
0.23,0.369984,0.847739,0.755373,0.786456,0.78504,0.765522,0.847739,,0.847739,0.765522,,0.78504,,0.786456,,0.755373,,0.376796,,,
0.231,0.588065,0.765453,0.730277,0.746778,0.735797,0.712285,0.765453,,0.765453,0.712285,,0.735797,,0.746778,,0.730277,,0.387359,,,
0.232,0.821452,0.67752,0.743953,0.761712,0.75721,0.745035,0.67752,,0.67752,0.745035,,0.75721,,0.761712,,0.743953,,0.409064,,,
0.233,1.060695,0.588295,0.791465,0.821509,0.833082,0.839733,0.588295,,0.588295,0.839733,,0.833082,,0.821509,,0.791465,,0.441646,,,
0.234,0.46737,0.596308,0.74285,0.750681,0.741654,0.728024,0.596308,,0.596308,0.728024,,0.741654,,0.750681,,0.74285,,0.442932,,,
0.235,0.494763,0.589241,0.705637,0.699498,0.679931,0.658046,0.589241,,0.589241,0.658046,,0.679931,,0.699498,,0.705637,,0.445523,,,
0.236,0.070429,0.645953,0.610356,0.573684,0.527555,0.481761,0.645953,,0.645953,0.481761,,0.527555,,0.573684,,0.610356,,0.426769,,,
0.237,0.707151,0.643294,0.624875,0.600377,0.572454,0.549378,0.643294,,0.643294,0.549378,,0.572454,,0.600377,,0.624875,,0.440788,,,
0.238,0.493495,0.632036,0.605168,0.579001,0.552715,0.532613,0.632036,,0.632036,0.532613,,0.552715,,0.579001,,0.605168,,0.443423,,,
0.239,0.720246,0.70027,0.62243,0.60725,0.594597,0.588903,0.70027,,0.70027,0.588903,,0.594597,,0.60725,,0.62243,,0.457264,,,
0.24,0.687998,0.730642,0.632265,0.623399,0.617948,0.618631,0.730642,,0.730642,0.618631,,0.617948,,0.623399,,0.632265,,0.468801,,,
0.241,0.993818,0.763236,0.686498,0.697483,0.711915,0.731187,0.763236,,0.763236,0.731187,,0.711915,,0.697483,,0.686498,,0.495052,,,
0.242,0.558822,0.912146,0.667347,0.669751,0.673642,0.679478,0.912146,,0.912146,0.679478,,0.673642,,0.669751,,0.667347,,0.49824,,,
0.243,0.697607,1.028505,0.671886,0.675322,0.679633,0.684917,1.028505,,1.028505,0.684917,,0.679633,,0.675322,,0.671886,,0.508209,,,
0.244,1.811273,1.048173,0.842794,0.902512,0.962543,1.022823,1.048173,,1.048173,1.022823,,0.962543,,0.902512,,0.842794,,0.573362,,,
0.245,0.801462,1.063562,0.836594,0.882302,0.922273,0.956415,1.063562,,1.063562,0.956415,,0.922273,,0.882302,,0.836594,,0.584767,,,
0.246,0.85329,1.095577,0.839098,0.8765,0.905027,0.925478,1.095577,,1.095577,0.925478,,0.905027,,0.8765,,0.839098,,0.598193,,,
0.247,1.708439,1.132419,0.9695,1.042888,1.10588,1.160366,1.132419,,1.132419,1.160366,,1.10588,,1.042888,,0.9695,,0.653705,,,
0.248,1.987104,1.130499,1.12214,1.231731,1.326186,1.408387,1.130499,,1.130499,1.408387,,1.326186,,1.231731,,1.12214,,0.720375,,,
0.249,0.70984,1.133291,1.060295,1.127353,1.1721,1.198823,1.133291,,1.133291,1.198823,,1.1721,,1.127353,,1.060295,,0.719848,,,
0.25,0.889525,1.061438,1.03468,1.079787,1.101456,1.106034,1.061438,,1.061438,1.106034,,1.101456,,1.079787,,1.03468,,0.728332,,,
0.251,1.04017,1.072442,1.035503,1.071864,1.086134,1.086275,1.072442,,1.072442,1.086275,,1.086134,,1.071864,,1.035503,,0.743924,,,
0.252,1.399079,1.058622,1.09004,1.137307,1.164371,1.180116,1.058622,,1.058622,1.180116,,1.164371,,1.137307,,1.09004,,0.776682,,,
0.253,0.537701,0.977026,1.007189,1.017386,1.007703,0.987391,0.977026,,0.977026,0.987391,,1.007703,,1.017386,,1.007189,,0.764733,,,
0.254,0.72832,0.840564,0.965358,0.959573,0.937857,0.90967,0.840564,,0.840564,0.90967,,0.937857,,0.959573,,0.965358,,0.762912,,,
0.255,1.02089,0.855997,0.973688,0.971836,0.958616,0.943036,0.855997,,0.855997,0.943036,,0.958616,,0.971836,,0.973688,,0.775811,,,
0.256,0.922506,0.859019,0.966011,0.96197,0.949588,0.936877,0.859019,,0.859019,0.936877,,0.949588,,0.96197,,0.966011,,0.783146,,,
0.257,0.701267,0.866002,0.926299,0.909829,0.887508,0.866194,0.866002,,0.866002,0.866194,,0.887508,,0.909829,,0.926299,,0.779052,,,
0.258,0.810879,0.821809,0.908986,0.890039,0.868351,0.8496,0.821809,,0.821809,0.8496,,0.868351,,0.890039,,0.908986,,0.780643,,,
0.259,0.486022,0.885336,0.845542,0.809236,0.772768,0.740526,0.885336,,0.885336,0.740526,,0.772768,,0.809236,,0.845542,,0.765912,,,
0.26,0.879604,0.945927,0.850651,0.823309,0.799477,0.78225,0.945927,,0.945927,0.78225,,0.799477,,0.823309,,0.850651,,0.771597,,,
0.261,0.922768,0.954314,0.861469,0.843201,0.8303,0.824405,0.954314,,0.954314,0.824405,,0.8303,,0.843201,,0.861469,,0.779155,,,
0.262,1.116985,0.973002,0.899796,0.897958,0.901971,0.912179,0.973002,,0.973002,0.912179,,0.901971,,0.897958,,0.899796,,0.796047,,,
0.263,0.91296,0.998145,0.901771,0.900958,0.904718,0.912413,0.998145,,0.998145,0.912413,,0.904718,,0.900958,,0.901771,,0.801893,,,
0.264,1.2365,1.005238,0.95198,0.968067,0.987664,1.009639,1.005238,,1.005238,1.009639,,0.987664,,0.968067,,0.95198,,0.823623,,,
0.265,1.394821,1.014923,1.018406,1.053418,1.089453,1.125194,1.014923,,1.014923,1.125194,,1.089453,,1.053418,,1.018406,,0.852183,,,
0.266,1.113147,1.009804,1.032617,1.065363,1.095377,1.12158,1.009804,,1.009804,1.12158,,1.095377,,1.065363,,1.032617,,0.865231,,,
0.267,1.128072,0.982622,1.046935,1.077905,1.10355,1.123527,0.982622,,0.982622,1.123527,,1.10355,,1.077905,,1.046935,,0.878373,,,
0.268,0.977832,0.991647,1.03657,1.057891,1.072121,1.079819,0.991647,,0.991647,1.079819,,1.072121,,1.057891,,1.03657,,0.883346,,,
0.269,0.888909,1.000538,1.014421,1.024094,1.026318,1.022546,1.000538,,1.000538,1.022546,,1.026318,,1.024094,,1.014421,,0.883624,,,
0.27,0.59255,0.944753,0.95114,0.937785,0.917876,0.893547,0.944753,,0.944753,0.893547,,0.917876,,0.937785,,0.95114,,0.86907,,,
0.271,0.8233,0.84208,0.931964,0.914888,0.894232,0.872473,0.84208,,0.84208,0.872473,,0.894232,,0.914888,,0.931964,,0.866782,,,
0.272,0.62377,0.755956,0.885735,0.856665,0.826616,0.797862,0.755956,,0.755956,0.797862,,0.826616,,0.856665,,0.885735,,0.854631,,,
0.273,1.216258,0.733151,0.935313,0.928583,0.924027,0.923381,0.733151,,0.733151,0.923381,,0.924027,,0.928583,,0.935313,,0.872713,,,
0.274,1.010764,0.701523,0.946631,0.945019,0.945711,0.949596,0.701523,,0.701523,0.949596,,0.945711,,0.945019,,0.946631,,0.879615,,,
0.275,0.622861,0.687243,0.898066,0.880588,0.864999,0.851575,0.687243,,0.687243,0.851575,,0.864999,,0.880588,,0.898066,,0.866778,,,
0.276,0.265419,0.642512,0.803169,0.757554,0.715104,0.675728,0.642512,,0.642512,0.675728,,0.715104,,0.757554,,0.803169,,0.83671,,,
0.277,0.165785,0.652359,0.707561,0.6392,0.577774,0.522745,0.652359,,0.652359,0.522745,,0.577774,,0.6392,,0.707561,,0.803163,,,
0.278,0.87721,0.669032,0.733008,0.686802,0.652633,0.629085,0.669032,,0.669032,0.629085,,0.652633,,0.686802,,0.733008,,0.806866,,,
0.279,0.629928,0.589266,0.717546,0.675427,0.646957,0.629338,0.589266,,0.589266,0.629338,,0.646957,,0.675427,,0.717546,,0.798019,,,
0.28,0.731828,0.543972,0.719689,0.686707,0.668175,0.660085,0.543972,,0.543972,0.660085,,0.668175,,0.686707,,0.719689,,0.794709,,,
0.281,0.100511,0.55054,0.626812,0.569468,0.526259,0.492213,0.55054,,0.55054,0.492213,,0.526259,,0.569468,,0.626812,,0.759999,,,
0.282,0.931615,0.578656,0.672532,0.641898,0.627598,0.624033,0.578656,,0.578656,0.624033,,0.627598,,0.641898,,0.672532,,0.76858,,,
0.283,0.807171,0.599769,0.692728,0.674952,0.672491,0.678975,0.599769,,0.599769,0.678975,,0.672491,,0.674952,,0.692728,,0.77051,,,
0.284,0.338836,0.553613,0.639644,0.607729,0.589077,0.576933,0.553613,,0.553613,0.576933,,0.589077,,0.607729,,0.639644,,0.748926,,,
0.285,0.512533,0.517567,0.620578,0.58869,0.569941,0.557613,0.517567,,0.517567,0.557613,,0.569941,,0.58869,,0.620578,,0.737106,,,
0.286,0.695106,0.474943,0.631757,0.609973,0.601232,0.598861,0.474943,,0.474943,0.598861,,0.601232,,0.609973,,0.631757,,0.735006,,,
0.287,0.574691,0.517858,0.623197,0.602917,0.594597,0.59161,0.517858,,0.517858,0.59161,,0.594597,,0.602917,,0.623197,,0.726991,,,
0.288,0.39803,0.368288,0.589422,0.561939,0.545455,0.533536,0.368288,,0.368288,0.533536,,0.545455,,0.561939,,0.589422,,0.710543,,,
0.289,0.369495,0.288192,0.556433,0.52345,0.501465,0.484324,0.288192,,0.288192,0.484324,,0.501465,,0.52345,,0.556433,,0.69349,,,
0.29,0.233424,0.258242,0.507982,0.465445,0.434455,0.409054,0.258242,,0.258242,0.409054,,0.434455,,0.465445,,0.507982,,0.670487,,,
0.291,0.262956,0.213822,0.471228,0.424947,0.39158,0.365224,0.213822,,0.213822,0.365224,,0.39158,,0.424947,,0.471228,,0.65011,,,
0.292,0.57258,0.134334,0.486431,0.454474,0.43683,0.427431,0.134334,,0.134334,0.427431,,0.43683,,0.454474,,0.486431,,0.646234,,,
0.293,-0.713658,0.0292,0.306417,0.220847,0.149208,0.085104,0.0292,,0.0292,0.085104,,0.149208,,0.220847,,0.306417,,0.578239,,,
0.294,-0.073885,-0.000802,0.249372,0.161901,0.093435,0.037408,-0.000802,,0.000802,0.037408,,0.093435,,0.161901,,0.249372,,0.545633,,,
0.295,0.009388,0.012717,0.213374,0.131398,0.072423,0.029002,0.012717,,0.012717,0.029002,,0.072423,,0.131398,,0.213374,,0.518821,,,
0.296,0.02392,-0.047573,0.184956,0.109903,0.060297,0.027477,-0.047573,,0.047573,0.027477,,0.060297,,0.109903,,0.184956,,0.494076,,,
0.297,-0.179269,-0.042941,0.130322,0.052068,0.000406,-0.034547,-0.042941,,0.042941,0.034547,,0.000406,,0.052068,,0.130322,,0.460408,,,
0.298,-0.581783,-0.097799,0.023507,-0.074702,-0.145141,-0.198718,-0.097799,,0.097799,0.198718,,0.145141,,0.074702,,0.023507,,0.408299,,,
0.299,0.068006,-0.028695,0.030182,-0.04616,-0.091855,-0.1187,-0.028695,,0.028695,0.1187,,0.091855,,0.04616,,0.030182,,0.391284,,,
0.3,0.518205,-0.046734,0.103385,0.066713,0.06066,0.072371,-0.046734,,0.046734,0.072371,,0.06066,,0.066713,,0.103385,,0.39763,,,
0.301,-0.429766,-0.056451,0.023412,-0.032583,-0.061946,-0.07827,-0.056451,,0.056451,0.07827,,0.061946,,0.032583,,0.023412,,0.35626,,,
0.302,0.313915,-0.028292,0.066988,0.036717,0.032019,0.039386,-0.028292,,0.028292,0.039386,,0.032019,,0.036717,,0.066988,,0.354143,,,
0.303,-0.030862,-0.008025,0.05231,0.023201,0.016299,0.018311,-0.008025,,0.008025,0.018311,,0.016299,,0.023201,,0.05231,,0.334893,,,
0.304,0.046481,0.072365,0.051436,0.027857,0.023844,0.026762,0.072365,,0.072365,0.026762,,0.023844,,0.027857,,0.051436,,0.320472,,,
0.305,-0.272304,0.070201,0.002875,-0.032175,-0.050193,-0.062958,0.070201,,0.070201,0.062958,,0.050193,,0.032175,,0.002875,,0.290834,,,
0.306,-0.097507,-0.001346,-0.012182,-0.045242,-0.062021,-0.073322,-0.001346,,0.001346,0.073322,,0.062021,,0.045242,,0.012182,,0.271416,,,
0.307,0.333674,0.041133,0.039696,0.030542,0.036903,0.048776,0.041133,,0.041133,0.048776,,0.036903,,0.030542,,0.039696,,0.274529,,,
0.308,0.043664,-0.026246,0.040291,0.033166,0.038593,0.047243,-0.026246,,0.026246,0.047243,,0.038593,,0.033166,,0.040291,,0.262986,,,
0.309,0.302506,-0.056858,0.079623,0.087034,0.104571,0.123822,-0.056858,,0.056858,0.123822,,0.104571,,0.087034,,0.079623,,0.264962,,,
0.31,0.044207,-0.128626,0.074311,0.078469,0.08948,0.099937,-0.128626,,0.128626,0.099937,,0.08948,,0.078469,,0.074311,,0.253924,,,
0.311,-0.268815,-0.163144,0.022842,0.009012,-0.000094,-0.010688,-0.163144,,0.163144,0.010688,,0.000094,,0.009012,,0.022842,,0.227787,,,
0.312,0.037499,-0.234286,0.025041,0.014709,0.009305,0.003768,-0.234286,,0.234286,0.003768,,0.009305,,0.014709,,0.025041,,0.218273,,,
0.313,-0.427253,-0.29703,-0.042803,-0.073683,-0.099835,-0.125538,-0.29703,,0.29703,0.125538,,0.099835,,0.073683,,0.042803,,0.185997,,,
0.314,-0.367594,-0.389852,-0.091522,-0.132465,-0.166775,-0.198155,-0.389852,,0.389852,0.198155,,0.166775,,0.132465,,0.091522,,0.158317,,,
0.315,-0.742962,-0.449451,-0.189238,-0.254565,-0.310821,-0.361597,-0.449451,,0.449451,0.361597,,0.310821,,0.254565,,0.189238,,0.113253,,,
0.316,-0.652001,-0.508769,-0.258652,-0.334052,-0.396116,-0.448718,-0.508769,,0.508769,0.448718,,0.396116,,0.334052,,0.258652,,0.07499,,,
0.317,-0.880072,-0.499649,-0.351865,-0.443256,-0.517105,-0.578124,-0.499649,,0.499649,0.578124,,0.517105,,0.443256,,0.351865,,0.027237,,,
0.318,-0.356509,-0.52799,-0.352562,-0.425907,-0.476956,-0.51164,-0.52799,,0.52799,0.51164,,0.476956,,0.425907,,0.352562,,0.00805,,,
0.319,-0.977378,-0.484434,-0.446284,-0.536201,-0.602062,-0.651361,-0.484434,,0.484434,0.651361,,0.602062,,0.536201,,0.446284,,0.041221,,,
0.32,-0.35308,-0.477187,-0.432304,-0.499577,-0.539816,-0.561877,-0.477187,,0.477187,0.561877,,0.539816,,0.499577,,0.432304,,0.056814,,,
0.321,-0.608299,-0.501497,-0.458703,-0.521321,-0.556937,-0.575804,-0.501497,,0.501497,0.575804,,0.556937,,0.521321,,0.458703,,0.084389,,,
0.322,-0.168493,-0.497533,-0.415171,-0.450756,-0.459826,-0.45361,-0.497533,,0.497533,0.45361,,0.459826,,0.450756,,0.415171,,0.088594,,,
0.323,-0.274248,-0.508849,-0.394033,-0.415454,-0.413431,-0.399802,-0.508849,,0.508849,0.399802,,0.413431,,0.415454,,0.394033,,0.097876,,,
0.324,0.051858,-0.556788,-0.327149,-0.321992,-0.297109,-0.264304,-0.556788,,0.556788,0.264304,,0.297109,,0.321992,,0.327149,,0.09039,,,
0.325,-0.287874,-0.500267,-0.321258,-0.315168,-0.2948,-0.271375,-0.500267,,0.500267,0.271375,,0.2948,,0.315168,,0.321258,,0.100264,,,
0.326,-1.010369,-0.53159,-0.424625,-0.454208,-0.473692,-0.493073,-0.53159,,0.53159,0.493073,,0.473692,,0.454208,,0.424625,,0.145769,,,
0.327,-0.608394,-0.582795,-0.45219,-0.485045,-0.507368,-0.527669,-0.582795,,0.582795,0.527669,,0.507368,,0.485045,,0.45219,,0.1689,,,
0.328,-1.004558,-0.688083,-0.535045,-0.588948,-0.631665,-0.670736,-0.688083,,0.688083,0.670736,,0.631665,,0.588948,,0.535045,,0.210683,,,
0.329,-0.883836,-0.759214,-0.587364,-0.647926,-0.694708,-0.734666,-0.759214,,0.759214,0.734666,,0.694708,,0.647926,,0.587364,,0.244341,,,
0.33,-0.355648,-0.89629,-0.552606,-0.58947,-0.609943,-0.620961,-0.89629,,0.89629,0.620961,,0.609943,,0.58947,,0.552606,,0.249906,,,
0.331,-0.697624,-0.987972,-0.574359,-0.611101,-0.631863,-0.64396,-0.987972,,0.987972,0.64396,,0.631863,,0.611101,,0.574359,,0.272292,,,
0.332,-1.171564,-0.985753,-0.66394,-0.723193,-0.766788,-0.802241,-0.985753,,0.985753,0.802241,,0.766788,,0.723193,,0.66394,,0.317256,,,
0.333,-1.326661,-0.994148,-0.763348,-0.843887,-0.906757,-0.959567,-0.994148,,0.994148,0.959567,,0.906757,,0.843887,,0.763348,,0.367726,,,
0.334,-1.056683,-0.977375,-0.807348,-0.886446,-0.944238,-0.988702,-0.977375,,0.977375,0.988702,,0.944238,,0.886446,,0.807348,,0.402174,,,
0.335,-1.455975,-1.045975,-0.904642,-1.000352,-1.072172,-1.128884,-1.045975,,1.045975,1.128884,,1.072172,,1.000352,,0.904642,,0.454864,,,
0.336,-1.29638,-1.087024,-0.963403,-1.059558,-1.128224,-1.179133,-1.087024,,1.087024,1.179133,,1.128224,,1.059558,,0.963403,,0.49694,,,
0.337,-0.985955,-1.099005,-0.966786,-1.044837,-1.092657,-1.121179,-1.099005,,1.099005,1.121179,,1.092657,,1.044837,,0.966786,,0.521391,,,
0.338,-0.70074,-1.055221,-0.926879,-0.976018,-0.994678,-0.995048,-1.055221,,1.055221,0.995048,,0.994678,,0.976018,,0.926879,,0.530358,,,
0.339,-0.820056,-0.962544,-0.910855,-0.944825,-0.951022,-0.94255,-0.962544,,0.962544,0.94255,,0.951022,,0.944825,,0.910855,,0.544843,,,
0.34,-1.638443,-0.99436,-1.019994,-1.083549,-1.122877,-1.151318,-0.99436,,0.99436,1.151318,,1.122877,,1.083549,,1.019994,,0.599523,,,
0.341,-0.80718,-0.95102,-0.988072,-1.028275,-1.043953,-1.048077,-0.95102,,0.95102,1.048077,,1.043953,,1.028275,,0.988072,,0.609906,,,
0.342,-0.829416,-0.892848,-0.964273,-0.988503,-0.990319,-0.982478,-0.892848,,0.892848,0.982478,,0.990319,,0.988503,,0.964273,,0.620881,,,
0.343,-0.689946,-0.926393,-0.923124,-0.928792,-0.915226,-0.894719,-0.926393,,0.926393,0.894719,,0.915226,,0.928792,,0.923124,,0.624335,,,
0.344,-0.307213,-0.907682,-0.830737,-0.804476,-0.763222,-0.718467,-0.907682,,0.907682,0.718467,,0.763222,,0.804476,,0.830737,,0.608478,,,
0.345,-1.40666,-0.913994,-0.917126,-0.924913,-0.924082,-0.924925,-0.913994,,0.913994,0.924925,,0.924082,,0.924913,,0.917126,,0.648388,,,
